公司或商業登記名稱,公司統一編號,業者地址,食品業者登錄字號,登錄項目
翔太商店,76360834,台北市信義區嘉興街315號,A-202269098-00001-6,餐飲場所
晶濎美式加州壽司,93181863,台北市信義區福德街262號1樓,A-202269100-00001-0,餐飲場所
萊客多餐飲店,93180864,台北市信義區莊敬路404號1樓,A-202269229-00001-2,餐飲場所
蓼松商行,73052102,台北市信義區中坡南路30號1樓,A-202269353-00001-0,餐飲場所
喆喆生活商行,88354843,台北市信義區和平東路3段331號1樓,A-202269548-00001-6,餐飲場所
青集所企業社,00384760,台北市信義區松仁路58號B3,A-202269875-00002-0,餐飲場所
林媽媽霸王鮮鍋店,48953527,台北市信義區中行里中坡南路９０號,A-202269925-00001-5,餐飲場所
村長關東煮,,台北市信義區吳興街170號,A-202270047-00001-2,餐飲場所
皇璽企業社,92759022,台北市信義區松壽街20號2樓,A-202270556-00001-7,餐飲場所
鶴鶴餐館,42502687,台北市信義區忠孝東路4段553巷22弄4號,A-202289325-00001-1,餐飲場所
島暉冰室,00586055,台北市信義區松山路164號1樓,A-202289430-00001-8,餐飲場所
玉里傳統小吃店,21716179,台北市信義區虎林街121號1樓,A-202289683-00001-8,餐飲場所
珍饌養生膳食店,93199152,台北市信義區吳興街58號1樓,A-202289854-00001-8,餐飲場所
越旺商行,88372271,台北市信義區中興里文昌街316號1樓,A-202289924-00001-6,餐飲場所
雅諒食糖有限公司,60768831,台北市信義區虎林街132巷19號1樓,A-202306103-00001-5,餐飲場所
雅諒食糖有限公司,60768831,台北市信義區虎林街132巷19號1樓,A-202306103-00002-6,餐飲場所
日入銅鑼燒,93201761,台北市信義區忠孝東路5段492巷7號1樓,A-202306411-00001-7,餐飲場所
老周家豬腳飯,00585324,台北市信義區福德街109號,A-202306674-00001-8,餐飲場所
品湯包,,台北市信義區台北市信義區永吉路30巷158弄1號,A-202306905-00001-5,餐飲場所
昕勝健康美食坊,88222843,台北市信義區吳興街125號,A-202306927-00001-9,餐飲場所
蔚嵐鳶秧主題概念設計有限公司,60703325,台北市信義區基隆路1段157號,A-202307051-00001-8,餐飲場所
澄辰小吃餐坊,00555882,台北市信義區崇德街32號1樓,A-202307214-00001-9,餐飲場所
金地瓜小吃店,00577350,台北市信義區嘉興街129號,A-202307260-00001-0,餐飲場所
廣香廚素食館,48513789,台北市信義區莊敬路422號,A-202307603-00001-1,餐飲場所
文常韮菜盒,,台北市信義區110台北市信義區虎林街82巷26號,A-202307898-00001-7,餐飲場所
天合鐵板燒小吃店,10394658,台北市信義區松山路540巷20號1樓,A-278958548-00001-4,餐飲場所
洲際伺食股份有限公司,93926131,台北市信義區松高路12號 B2,A-278958703-00003-9,餐飲場所
洲際伺食股份有限公司,93926131,台北市信義區忠孝東路4段515號D棟B2-B2224,A-278958703-00006-2,餐飲場所
美而美早餐店,48707011,台北市信義區虎林街132巷44號1樓,A-278958924-00001-2,餐飲場所
宋記烤肉快餐,75905680,台北市信義區吳興街269巷11號1樓,A-278959098-00001-5,餐飲場所
握握餐飲股份有限公司,,台北市信義區吳興街55號,A-278959168-00001-3,餐飲場所
協力燒肉飯,38575032,台北市信義區嘉興街211號,A-278959251-00001-6,餐飲場所
玖豆冰品店,88363771,台北市信義區莊敬路396號1樓,A-278959778-00001-0,餐飲場所
阿卡拉炸雞 虎林店,,台北市信義區虎林街56巷1-2號,A-278960278-00001-7,餐飲場所
轉角炸雞 蔥抓餅,,台北市信義區虎林街132巷7號,A-278960279-00001-8,餐飲場所
象山麵店,,台北市信義區松仁路215巷2號1樓,A-278960384-00001-5,餐飲場所
全家便利商店股份有限公司,23060248,台北市信義區中坡北路２５號,A-123060248-11996-9,餐飲場所
全家便利商店股份有限公司,23060248,台北市信義區松山路１１號地下１樓,A-123060248-12537-1,餐飲場所
全家便利商店股份有限公司,23060248,台北市信義區忠孝東路４段４００號Ｂ１,A-123060248-13275-1,餐飲場所
全家便利商店股份有限公司,23060248,台北市信義區忠孝東路四段515號D棟B2,A-123060248-13373-0,餐飲場所
全家便利商店股份有限公司,23060248,台北市信義區忠孝東路四段515號D棟B1,A-123060248-13374-1,餐飲場所
全家便利商店股份有限公司,23060248,台北市信義區福德街８４巷３２號１樓,A-123060248-13550-7,餐飲場所
全家便利商店股份有限公司,23060248,台北市信義區信安街４７巷２３號１樓,A-123060248-14010-9,餐飲場所
帽哥海味小吃店,85442359,台北市信義區忠孝東路四段559巷16弄8號1樓,F-200165354-00001-9,餐飲場所
馡曄國際股份有限公司,42680303,台北市信義區松山路11號,B-142680303-00016-2,餐飲場所
三隻猴子美食廚房,93187819,台北市信義區松山路449號1樓,F-200185675-00001-7,餐飲場所
老林食上,93003072,台北市信義區吳興街284巷11-2號,F-200185944-00001-6,餐飲場所
立偕生活文化股份有限公司,54186708,台北市信義區光復南路133號,A-154186708-00001-8,餐飲場所
阿一饌品有限公司,54197276,台北市信義區忠孝東路四段559巷24號,A-154197276-00003-2,餐飲場所
焦唐楓餐飲文化股份有限公司,54199324,台北市信義區永吉路30巷120號,A-154199324-00001-6,餐飲場所
